"STATION","NAME","DATE","ACMH","ACSH","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-20","   10","   20","7.61","0.00","0.0","0.0",,"95","74",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-21","   30","   30","9.62","0.00","0.0","0.0",,"94","74",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-22","   80","   80","10.74","0.30","0.0","0.0",,"91","73",,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-23","   70","   80","6.93","0.32","0.0","0.0",,"83","70",,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-24","   40","   50","5.14","0.00","0.0","0.0",,"89","67",,,"    1",,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-25","   30","   30","6.71","0.00","0.0","0.0",,"91","68",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-26","   50","   60","7.16","0.00","0.0","0.0",,"93","70",,,,,,,,,,,,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-27","   10","   10","6.71","0.00","0.0","0.0",,"95","73",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-28","    0","   10","5.14","0.00","0.0","0.0",,"96","74",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-29","   20","   20","4.92","0.00","0.0","0.0",,"98","76",,,,,,,,,,"    1",,,,,,,,,,
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","1990-07-30","   50","   60","6.49","0.10","0.0","0.0",,"94","76",,,,,,,,,,,,,,,,"    1",,,,
