STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-23,50,40,,,,,,1712,2.06,82,0,0,,88,68,,600,20,,,315,,,16.1,,,26.4,,1,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-24,80,90,,,,,,1336,0,30,0,0,,84,69,,216,160,,,180,,,12.1,,,19.5,,1,,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-25,20,30,,,,,,1254,0,78,0,0,,87,72,,564,140,,,180,,,14.1,,,16.1,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-26,50,90,,,,,,1612,0,65,0,0,,84,71,,468,120,,,135,,,17.9,,,26.4,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-27,90,100,,,,,,30,0.21,36,0,0,,84,73,,258,120,,,135,,,17,,,25.3,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-28,90,80,,,,,,1818,0.47,43,0,0,,85,72,,306,170,,,180,,,17.9,,,26.4,,,,1,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-29,50,50,,,,,,1018,0,63,0,0,,83,68,,450,260,,,270,,,10.1,,,13.9,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-09-30,60,60,,,,,,1306,0.02,61,0,0,,83,67,,432,240,,,225,,,8.9,,,15,,1,1,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-01,40,50,,,,,,924,0.41,63,0,0,,81,65,,450,260,,,225,,,16.1,,,27.5,,1,,1,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-02,30,40,,,,,,1448,0,98,0,0,,86,62,,696,220,,,225,,,12.1,,,16.1,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-03,10,20,,,,,,1148,0,95,0,0,,88,69,,672,220,,,225,,,10.1,,,19.5,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-04,30,30,,,,,,1648,0.36,72,0,0,,89,67,,504,350,,,360,,,32,,,55.3,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-05,60,70,,,,,,42,0,52,0,0,,78,64,,366,50,,,45,,,14.1,,,24.2,,1,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-06,60,80,,,,,,848,0,49,0,0,,81,60,,342,160,,,90,,,8.1,,,12.8,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-07,90,100,,,,,,1254,0.25,18,0,0,,84,68,,126,280,,,270,,,17,,,26.4,,,,1,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-08,30,50,,,,,,942,0.71,50,0,0,,86,65,,348,150,,,135,,,14.1,,,18.3,,1,,1,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-09,20,30,,,,,,1154,0,85,0,0,,86,66,,594,140,,,225,,,14.1,,,18.3,,1,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-10,30,30,,,,,,1248,0,80,0,0,,86,67,,552,130,,,135,,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-11,60,50,,,,,,1206,0,86,0,0,,85,67,,594,160,,,135,,,21,,,30,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-12,90,80,,,,,,1318,0,36,0,0,,85,69,,246,160,,,135,,,17,,,26.4,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-13,100,100,,,,,,936,0.87,0,0,0,,75,66,,0,280,,,225,,,21,,,26.4,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-14,80,70,,,,,,1018,0,54,0,0,,77,60,,174,50,,,45,,,12.1,,,17.2,,1,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-15,80,60,,,,,,1118,0,73,0,0,,81,57,,498,150,,,180,,,8.1,,,11.4,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-16,90,90,,,,,,1412,0,56,0,0,,69,54,,378,20,,,45,,,19.9,,,26.4,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-17,0,0,,,,,,836,0,100,0,0,,70,47,,678,80,,,90,,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-18,0,0,,,,,,1224,0,100,0,0,,75,44,,672,300,,,68,,,6.9,,,11.4,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-19,0,0,,,,,,1306,0,100,0,0,,79,50,,672,260,,,315,,,6,,,11.4,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-20,0,0,,,,,,1148,0,100,0,0,,80,50,,672,50,,,360,,,6.9,,,11.4,,,,,,,,,1,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-21,0,0,,,,,,1330,0,100,0,0,,79,53,,666,30,,,90,,,8.1,,,12.8,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-22,0,0,,,,,,1306,0,100,0,0,,80,49,,666,40,,,360,,,6.9,,,9.2,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-23,0,0,,,,,,1130,0,100,0,0,,82,51,,666,270,,,270,,,8.9,,,12.8,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-10-24,0,0,,,,,,1206,0,100,0,0,,83,54,,660,220,,,180,,,14.1,,,18.3,,1,,,,,,,1,,,,,,,,,,,,,
